sentence,polarity
oh man  the baked goods spread at flour is enough to inspire great  great things and i think it does  everyday everything i have tried has hit the spot muffins  quiche  breakfast sandwiches  poptarts  fruit tarts  i could keep going everything is made from super fresh ingredients  and you can taste it they also are incredibly conscious of dietary restrictions its great for vegetarians  vegans  and glutenfree even the bakery section there menu has enough variety that you can keep going back without getting bored and i do  very oftenthis place is amazing  which is why it is usually packed it is worth every second of what can be a long wait such a gold mine,positive
i walked out of park the other night in stunned silence and suffering the most intense food and beer coma i have ever experienced i had a meal fit for a king or some kind of nobility   walked into park  having heard good things but nothing specific so had zero expectations it was a saturday night and the floor was full  so to the bar we went i honestly think sitting at the bar made the experience all the better to start  the service was incredible every single bartender stopped by to see how we were and to joke around there was a great sense of camaraderie between  not only  the bartenders  but the guests as well   the dcor was incredibly cozy and complimented the elevated farmhouse vibe of the menu  the food and beer was everything ive ever wanted and everything i have ever needed i guess you can call me a beer newb  but my eyes were opened by their awesome selection of beers on tap my friend was in charge of ordering beer and apps she did an amazing job of exploring the beer list but her choice of app was the only meh moment of the meal she ordered the chicken wings  which dont get me wrong  were good however  compared to everything else  they were just okay for my entree  i obviously got the daily meat pie how could you put a meat pie in front of my face and expect me not to choose it that day it was braised chicken something with red wine sauce and mushrooms it was a huge portion and i did some serious damage to it i cant wait to go back and see how they change it up my friend got the bar steak which was really quite amazing overall  the food was pretty close to perfect at least for my palate well done  park,positive
wowie i got a grilled chicken  avacado  jicama sandwich and it was so tasty everything was very fresh the chocolate cupcake was fantastic the cake had dare i say an almost perfect texture  i didnt try any drinks  but somebody in front of me in line got a latte and it certainly looked delicious  the place has a very comfortable atmosphere  with people together at tables studying and talking all the staff members i encountered were super friendly and welcoming the music was perhaps a little bit loud for reading or doing work  its not cheap  but its certainly worth every penny,positive
this is an awesome starbucks the staff is really friendly and they always make an effort to get to know their customers they are also very knowledgeable about the different coffees they serve on the clover which i highly recommend trying sometimes the line is out the door but it always moves fast  the store is very spacious for a boston store  and has a lot of comfortable chairs for sitting with your friends or studying the outdoor patio is great on warm sunny days  definitely one of the best starbucks stores ive been to in the boston area,positive
eatin at hungry mother in cambridge was such a singular culinary experience for me  its like nothing ive ever tasted  and damn expensive too  but delicious  and i thoroughly enjoyed the deviled eggs  the one scallop that they give you shouldnt be plural on the menu  the pot of caramel  the pork shoulder  the pulled pork sandwich with fried onions  the nacho cheese tasting pimento cheese sandwich  the buttery collared greens  gnocchi  and all the drinks  especially the nonalcoholic ones  dad  if youre reading this    catfish is ok here the orange thousand islandy sauce is tasty  but im not sure if id order it again  i wasnt that into the hash  and the pickled cauliflower was a bit wack  maybe i just wasnt expecting that particular combination of flavors  its probably an acquired taste    great date place too  nothing like dim lighting and a picture of thomas jefferson to get you in the mood  i went here on halloween  and the host was workin a little rascals alfalfa costume  wicked    the pear ice cake is really good  but its just a block of ice cream with pear in it covered with chocolate  and lacks the delicacy of the other desserts  hey  if youre into that  go for it  overall  i was going to write off my kendall square food expedition as a bust until i dined here  thanks mama,positive
love   pastries  scones  bread  sandwiches  everything is so yum  my favorites are the sticky buns duh  cheddar scallion scone  banana bread  and tomato mozzarella pesto pocket  it was hard to narrow it down to fourmake it five  breakfast sandwich is also divine  now i know everyone has probably said all the wonderful things there may be to say  but i want to specifically gush about how sweet the people at flour were for my bakery order i placed to bring back the goodies to texas  apparently  one of my uncles goes to church with joannes parents  my mom  my aunt  and another uncle read about flour in the newspaper you know how the story goes suddenly  i get flooded with calls and emails two days before i come back to texas can you please bring me the famous sticky bun  banana bread  pain aux raisin  scone  what is better can i try them all     i called ahead asking if i could place an order for some of the pastries  and they were really patient with me  gave me suggestions for what was goodnot good for traveling  instructions to heat up certain items  etc  i even had to call back to add more items to each of the boxes when i picked the goodies up the next day  they had split my boxes up accordingly and everything was right i was having trouble keeping straight what i needed  but luckily they were on top of it  after 6 hours of travel  security scanning  bumping against oblivious travelers  and accidentally kicking the boxes when under the airplane seat in front of me  all the pastriesscones remained intact somehow  there was barely any movement  and everything looked almost as good as in the store   i would eat here every day if only i also ran 20 milesday to keep up with the calories yum,positive
hands down  my boyfriend and my favorite bar in boston  besides being an awesome neighborhood bar  the food is also amazing  the pork quesadilla and white bean dip are appetizer favorites  the boy loves everything standouts for him are the meatloaf burger and reuben sandwiches  and i love the roasted vegetable sandwich  they all come with a side of either pasta salad  roasted potatoes  mixed greens  or chips    great place to go chill  work  catch the games  relax  or drink up  in fact  i am sitting here at the bar working right now  homey  cozy  friendly  what more can you ask for,positive
the food and baked goods are so good and i think that the best complement i have for this place is that it was literally the first food i had after having my baby  i had been going through a period of intense flour sticky bun cravings for a few weeks and happened to have a sticky bun sitting on my counter at home waiting for me when i went into labor i had to leave it at home and my sister  who was visiting  ended up eating it  i knew this would happen i mused sitting in my hospital bed  so my dear dear husband surprised me with a selection of flour sandwiches and sticky buns for lunch after i had finished the business of having a baby thus making a memorable event even more memorable,positive
i read the reviews out of curiosity and then remembered it has been waaay too long since my last visit to cuchi cuchi walk in and be instantly charmed by the art deco glam craziness  oh and the excellent food and drinks  the tuna tartaravocado mousse cornets are mind blowing it is a bit expensive but the more people in your group the better to sample all the dishes i came here one night with about 10 people and i think we got one of everything off the menu and it was all great the brie en croute is the stuff dreams are made of,positive
by far the best thai food in cambridge  most negative reviews on ylep are from people who got takeout or delivery  thai food has to be eaten right away  so of course those of your who ate the food at home were less than pleased this place is excellent and comes close to what you get in thailand close only  because well never get the fresh thai seafood and veggies over here  so  they messed up a delivery to your company or perhaps  it was you  and they didnt beg for your patronage the fact is  they dont need you as a customer because this place freakin rocks  if you actually go to the restaurant  the staff are efficient and courteous  they dont fawn over you  but why does that matter i go out to restaurants to eat good food  not to get my ego stroked,positive
yelp reviews are interesting  because they prove that you cant please everyone all the time  and i am puzzled by some of the negative reviews  we felt that bondir was spectacular  i can endorse the vast majority of the reviews that are glowing i hesitate to write this review because it is so small and pleasant  and i am worried that i wont be able to come here as often as i plan in the future  the service was warm and pleasant  and we felt like we had been invited into a home the food was uniformly wonderful  with fresh vegetables that were perfectly prepared the scallops were outstanding  and pasta dish was also lovely there arent a lot of dessert selections but they were all tasty  when i got up to leave  i glanced around as i put my coat on almost everyone at the other tables glanced back and smiled  and i think it is because they were enjoying their dinner i am a bald middleage guy  so it wasnt because of my looks  if you are looking for the steak house or huge servings with mashed potato experience  bondir is not the place you wont get 2300 calories in one sitting at bondir thank heaven but if you want fresh  interesting and delightful food  its the place for you before we even got home  wed made plans by email to go again our best friends  and i am planning on eating there every chance i get,positive
totally great place wonderful food  polite service  fantastic desserts as a veggie diner  it is perfect i have eaten there 4 times in the past two weeks  and it was terrific every time two types of veggie burgerboth good regular fries are delicious they get a bit confused on service sometimes  but give them a break  they are new they are trying hard and very friendly this is my favorite place for lunch in cambridge  and a good place for dinner  too my only suggestion is that they need sweet potato fries,positive
i love this place it is not pretentious but the food is always solid the lobster risotto is wonderful and the service is great ive eaten here 5 times and havent been disappointed yet,positive
solid and consistent chinese foodi have been eating here routinely for many years an outstanding bargain i am chinese and grew up on home cooked chinese food  and this is authentic and reliable for a great price,positive
its always a good sign from the brunch gods when the first thing to arrive at your table after the water is a basket of sticky buns  coffee cake  lemon poppy muffins  and savory baconcheese scones  and when said sticky buns taste like butter draped in caramel  and you can literally taste the sour cream oozing out of the coffee cakeits pretty much guaranteed that you are in for a treat  the hits just kept on coming when my eggs benedict with pancetta and a side of red roasted potatoes arrived  the english muffin was nicely toastey and buttery  the bacon was crisp and salty  the eggs were perfectly poached  and the hollandaise was not too thick  the potatoes needed a little bit of salt  but were otherwise tender and made a nice vehicle to soak up the runny egg yolks and extra sauce  for dessert my friend and i split the french toast  which was 3 fluffy  buttery triangles of clearly deepfried brioche  bathed in a caramel sauce with sliced bananas  candied pecans  and a dollop of mascarpone cheese  i dont really think i need to say any more than that  amazing  they had a short list of inventive breakfast cocktails that go beyond the traditional mimosa or bellini  mine was called hits of sunshine and consisted of champagne with raspberry puree and elderflower liquer  which was tart  flowery  and refreshing  my friends passionfruit  honey liquer  and champagne concoction was the winner though  with its sweet taste and velvety texture  the atmosphere was quirky  lively  and sunny at least in the monday club room  where we sat  the carpets are leopardprint  the walls are magenta  or green if youre by the bar  you feel a bit like youre at the mad hatters tea party  but in a good way  its nice to eat at a restaurant that is serious about good food  but a little more lighthearted about everything else,positive
the food is good  the drinks are excellent and expensive  but the reason i went to noir at least once a week all summer long was to relax on the outdoor patio with a martini and a cigarette late at night and do some quality people watching and gossiping with my good friend and noir is an excellent venue for such things,positive
i have had nothing but excellent service and food every time i have eaten here the food is amazing sometimes it is so good that i have to go outside for some fresh air during my meal so i can regroup and go back in to finish it the real upstairs is where i prefer to sit  but downstairs is good too ive also been to upstairs on the square for wine tasting and to the bar for drinks  all of which have been great experiences,positive
we had the best time here the other night the place is adorable there are so many rooms  you really feel as though you are in someones house there is also a bar area  a private room  and a patio that is perfect for a warm night the service was excellent the food was delicious the prices were great and  parking karma was on our side in harvard square this is the perfect date spot or the perfect place to get together with friends or the perfect place to take your parents if they come to visit  the bread and the variety of olives they start you off with are delicious its a really hearty wheat bread and a raisin bread i didnt try   we also started off with a perfect bottle of wine   we all got appetizers one had the special softshell crab  another had mushroom phyllo  and i had the special californian mission figs wrapped in prosciuotto we all shared and mine was the clear winner  we all ordered half portions of pasta dishes i love that they offer halves so we could have apps  save room for dessert  one had the special of the day  pasta with a bolognese sauce of veal and lamb another had the shrimp linguine and i had the linguini con carciofi and i added grilled shrimp it was probably one of the best pasta dishes i have ever had and i live in the north end the sauce was perfect and light and the flavors of the artichoke hearts  tomatoes  garlic  shrimp  arugula  red pepper worked perfectly together    for dessert we split a key lime pie amazing and a vanilla cake topped with fruit and cream i forget the name both were delicious and we finished every bite    it was our first time at the red house but we will definitely go back my boyfriend and his mother remembered paul the owner from his gianninos days so  his mom was able to pop into the kitchen on our way out to say hi to him  which made her very happy,positive
if you like authentic chinese food like me  you will love this place   i am actually surprised to see all these negative reasons here i guess the trick here is that they have both authentic food and americanized food i never tried the americanized dishes but the chinese ones are decent i always just order their specials  which are listed on the first page of their menu  my favorite dishes are  chinese style mapo tofu   beijing duck you need to order it ahead   fish with the spicy sauce the spicy flavor does not just come from the spicy dry red peppers but also sichuan peppers it has a special tingling flavor and will make you feel like your tongue is on drug    and the pork stir fry with bamboo shoots,positive
dear ashleys   thanks for the beer  obviously its incredible  moreso  thank you for not shoving a big ol fuckin tv at the end of the table if i wanted to drink beer and watch tv  i wouldnt have left the house  and appreciate the fact that you want me and my friends to actually hang out with each other  sorry for blowing up your bathroom last tuesday  not my intention  see you soon  love   jerry,positive
i struck up conversation with the guy behind the meat counter for about ten minutes  nicest guy in the world  and took the time to tell me any  everything about every meat under the counter   turns out it was the owner i cant tell you how impressed and proud i am to have this in my community,positive
the same owner of baraonda  then real italian food   its my favourite the wine is awesome  you can find everything you want tagliere di formaggi and tagliere di salumi or affettati  i dont remember are delicious  the best i have ever found in atl i think this restaurant is even better than a lot of italian restaurant in italy   the place is really nice  but small its more expensive than baraonda  but not so much  this restaurant is advised by an italian person ,positive
its an italian market food comes from italy  its like shopping in my country unfortunately they dont have a lot of products  but they have delicious meats raw ham  speck  ham  salami    i usually go there for lunch on saturday  trying their great panini and i shop there a lot  if you like italian food and wine  you should try toscano,positive
i am so glad i got to try this place out it was so packed but so worth it i ordered a slaw dog  a chili cheese dog omgawhh delish we also got onion rings and chili cheese fries my mom got a double cheeseburger  a side salad  everything was really good,positive
bomb cookies for a cheap price cant get any better then that  except  parking sucks  theres usually always a long line,positive
situated on a quite street of midtown neighborhood  ecco is quite different from its neighboring eateries it advertises a european menu and stands up to it fairly well  ecco has a small patio area for outside seating and fairly big inside seating area we went there for late dinner on saturday evening so avoided any waiting time but the place was still fairly busy at 10pm   they have an decent selection on import beers and fairly wide selection on wines food is delicious however the portions were european if you are looking for copious amounts of food  this is probably not the right place fried goat cheese was ridiculous good and lives to its hype we also ordered couple of orders of cheese and they were served at room temperature  uncut the proper way surprising number of places including wine bars get this basic serving etiquette wrong also  i strongly recommend their woodfire grill pizza its thin  crispy and goes very well with their toppings of cured meats   ecco is fairly priced and their menu is well thought its definitely worth a visit,positive
ignore the slightly tacky decor this place is yummy and fast  we got a 30  some noodles  rice  egg role app  and split a thai tea    we were full and everything was really tasty service was good too  even while they were really busy   2332 plus tip awesome,positive
in haiku  its cheap and yummy i mix in peanut butter cups always satisfies,positive
visiting uw wthe bf since he graduated from there  this place is pretty close to campus  thanks for the buttons  alex,positive
i really love this place i knew of it for many years before i actually tried it  and have been back several times since the serversstaff are warm  friendly  and attentive but dont hover the food is delicious  great naan and love their tikka masala and standard vegetable side they also make a delicious aioli theyve accepted coupons graciously when weve had them,positive
i just love them  its a great place to meet someone over coffee or just do homework the spicy and creamy chai here are my favorite a frequent hangout spot for my husband and me latenight they close at midnight  bummer but just glad that they are open after 9 pm,positive
karas cupcakes are really good  they are unique in that the frosting is not crazily sweet like in other cupcake places such as sprinkles  highly recommend not to go there  their cakes are good and moist  frostings are soft and smooth  plus their cupcakes are so cute  ive had a number of flavors there  meyer lemon  chocolate velvet  rasberry chocolate and the passionfruit  all are very yummy  im a chocolate lover so chocolate velvet is my favorite,positive
i had been invited to this place on more occasions than i can remember  my response to each invite upon hearing this was not only a vegetarian restaurant but a vegan one was an adamant no thanks   finally a pretty enough girl invited me along thank you gamze and i could not say no    my eyes my friends were opened that dayscream it from the rooftops vegan food can be goodnot only good but freakin incredible  i love this place the food was so amazing i instantly forgot i wasnt eating meatdidnt even cross my mind that hey there is not meat in this dish just straight up amazing food    as katie o saysfood so good even carnivores will love it  ill drink to that,positive
is it ok if i like it just because i think its fin delicious    i promise im not trying to be trendyi just think it tastes grrreat,positive
oh gyros of aladdin falafel corner  how i love thee seriously  this is as good as gyros can get at a very good price their gyros is at the right temperature  the meat is juicy and flavorful it just all works its one of those places that you walk by and lures you inside with its yummygyros aromas i find this place irresistible  and you will too,positive
this is seriously my new favorite place to eat in the udistrict  their food is deeeelish  the lamb roti is to die for along with paratha  which is kind of like a combination of a flour tortilla and naan  their sorrel drink  a flowerytasting drink  is especially good with the food and goes along with the spices of the food  my mouth is watering from just even thinking about it  the service is a bit slow but friendly  try it  d,positive
you wont miss the meat i promise  this place is so good  every time i go here i leave about five pounds heavier  i just love drenching my whole plate with their delicious peanut sauce  the only downside  this must be the place to bring your kids because little rascals are running around wild everywhere  i mean rice everywhere,positive
id like to take this place behind the bleachers and get it pregnant  only in my dreams  but seriously  i adore this place  thai tom is home to the best peanut sauce ever made and ive consumed a lot of peanut sauce  i highly recommend any dish featuring the delicious liquid gold  the trick here is to go for lunch or slightly before the dinner crowd because it can get crazy  another good bet is to order to go but be prepared to wait 3045 minutes during peak times  there are some adorable shops across the street to kill some time  and dont forget  cash only  dang it  now im hungry again,positive
delicious food  really nice people  okay coffee  but a major reason to go is the giant portions of frozen yogurt the yogurt is on the tart side which makes it particularly refreshing in summer  and if you have it for here it comes in a tulip shaped sundae glass which feels oldfashioned and somewhat luxurious decor is sort of unpretentious indiecraftacularesque,positive
thanh vi has the nicest people running it that you could ever hope to meet their banh mi is excellent as are their salad rolls im so into the banh mi i find it hard to go without it even for a single visit  but they have many other dishes,positive
handsdown the best dosas ive eaten in seattle its homestyle cooking at its best not too oily or buttery  crisp and with really good  spicy chutney the sambar was a adequate  i guess  but overall awesome food as many of the other reviews mentioned  the place is essentially a minimart  but instead of all the liquor fridges at the back  they have a few plastic tables neighborhood is a bit skeevy as well  and with all the muggings going on in that area recently  id be careful at night,positive
the raven grill grows on you  reliable  healthy assuming you dont order the delicious fried seafood items menu at a moderate price  raven has become a go to place for an informal dinner out in the neighborhood  service has been prompt and attentive during recent visits  they do not take reservations  but they do maintain a call ahead list which helps to keep the wait time down,positive
four stars or five stars it was a close call pretty much i had an amazing first experience at benjys and it may very well be a new favorite of mine i think it is actually so i finally visited benjys after hearing so much about their happy hour  from reviews and it being a yelp drinks destination visiting their happy hour was the best decision ever it was very cool the restaurant has a nice set up with the loungy bar upstairs and the patio i came for happy hour and was sure i would order some food off their appetizer menu  i ended up trying the asian chicken salad and the blood orange margarita the margarita was good  my memory is a little clouded of the specifics of that actually but i absolutely loved my salad my favorite food happens to be chinese chicken salad and ive been looking all over houston for a good salad the only place ive found thus far is cpk i love cpks salads anyways  back to benjys the asian chicken salad was amazing the flavor of the chicken was a little smokey but perfect the salad had the right amount of crunchiness and the dressing was perfect the salad was big  so big that i struggled eating the last few bites i was so full  pretty much it was amazing but what was even better  my server  who im sure was a manager when taking my order he could tell that i wanted to try the calamari but he told me it was big so i decided not to order it because he said the salad was big too welp  when he brought out my food  he brought me a little bowl of calamari too so i could try it so the service gets five stars from me  benjys i shall be back soon,positive
i love this place   the chicken is great  they have plantains and black beans florida staples which should be everywhere and nothing is greasy and gross like most other places   i dont mind paying a little more for this place seeing as everything seems so fresh and delicious  plus  dont miss their salsasauce bar,positive
this is my new favorite place i absolutely love the nachos here after finding out they have 2 draughts all day everyday and that theyre open until 2am with a full bar  i will be hanging out here for drinks on the weekend in the near future great food  location and prices,positive
i came here during the fourth of july weekend in 2009 i walked in friday night with my brother about 1030pm and ended up leaving probably about 430am because we were talking to the bartender learning the history of the chili parlor and austin this was easily the best time ive ever had at a bar as a tourist and have never felt more welcome   we ended up back here everyday of our stay 4 days and received the same great service and welcome feeling from the entire staff the manager even gave us suggestions for live music suiting our tastes  good venues  directions and other bartenders to talk to   another thing that brings lots of character and conversation to this place is the fact it was used in a movie and the events that led up to and included the filming of the tarantino movie death proof they even sport the green booze from the movie   in addition to the awesome history and staff  the food is amazing i think i tried just about everything on the menu over those 4 days and loved everything i was served the white chili stands out most in my mind as well as the enchiladas   i highly suggest checking out this little hole in the wall  you wont regret it,positive
im hooked on this place  we were actually going next door to chicken kitchen when we stumbled upon nam the other day when it was kinda chilly outside i saw pho and thought something soup like would be perfect   for starters  we tried the crabtons which even the antiseafood companion thought was very good i had the unphogettable which i absolutely loved  and want to rename the phoking awesome antiseafood companion had the chicken avenger and was also quite happy with the order   the staff was very eager to offer assistance while ordering and seemed thoroughly happy to be there   i guess the best way to put this into words of how much i liked this place the day after eating dinner here  i was bringing coworkers in to try it out for lunch they too agreed we found a new place to have lunch on a consistent basis which we all enjoyed,positive
i love retro  old hollywood glamour  small plates and theme parties  so this year i decided to have a roaring 20s themed birthday dinner at cuchi cuchi we may have dressed the part a little and some boas might have shown up  but we fit right in we were transported back in time as soon as we walked in super cute decor with dim lighting and fabulous music they didnt take reservations at the time we wanted to go  so a group of eight of us planned to meet at the bar for some drinks   even though the place was packed the bartender was attentive and helped select our cocktails they have so many options with cute names and fresh muddled ingredients it was hard to pick just one of course  i settled on the alicat after some indecision  since thats one of my nicknames we also tried the blackberry cosmo and a few others i cant remember the names of i was starving so we also ordered a few small plates  the fried artichoke hearts and prosciutto wrapped melon they were delish the wait was about an hour since we had a larger group and it was a saturday night  but we had fun chatting at the bar and the time flew by   once we were seated i tried the somelikeithot for my next cocktail  a spicy martini with olives that was awesome my friend ordered some of her fave small plates to get us started garlic shrimp and brie en croute  and then we continued to sample as much as we could including the deep fried tomato  seafood stuffed avocado  cuban cigar short ribs wrapped in dough  grilled skirt steak  potato gratin  marinated mushrooms  deep fried zucchini  lamb  puff pastry bites  salad and probably something i am forgetting my faves were definitely the artichokes  brie  the cuban cigar and the skirt steak   our waitress was so sweet  and handled our crazy loud table effortlessly plus she recommended the skirt steak which makes her even more fab and the waitresses get to dress in 20s attire  which is so fun it made me want to work there lucky for you though since i might not be the best waitress i will stick to just stepping back in time for an evening of cocktails or dinner  which ill be doing again real soon,positive
first of all  you have to take it as it is cheap college food so given that  if you want some foie grois  this place isnt for you but if you want some food thats worth every cent  this is the place like everyone else  i must recommend the special carne asada or the nachos try to hit it up when its not crowded  so come for an early lunch opens at 11 i think or a late dinner closes at 1 its small  so take your food back to your dorm  apt  frat house  whatever and their salsa and chips hit the spot too  so yummo  as a starving student  your belly will be the only thing youre busting  not your wallet ,positive
i am surprised at the ratings of this place although ive been only once and did not care much for the service its somewhat difficult to order in spanish  since i am asian  but for the californian who misses innout  this place is for you stick with a cheeseburger and fries  but the fish sandwich looks moderately awesome as well but yeah  this burger is as close as ive gotten to innout  and ive been looking  ketchup is the devils condiment thats why its red dont kill your burger with it,positive
did anyone else read how opal mehta got kissed  got wild and got a life  you know  the book written by a harvard freshman a couple years ago but was quickly taken off the market because it turned out to contain whole paragraphs plagiarized from another authors books anyway  at the end of that book  the heroine finally achieves her dream of getting accepted by harvard  and finds herself sitting at bartleys with a group of fellow john harvards as she bites into her george bush burger  cheesy grease and bbq sauce drip down her chin  and she is filled with happiness beyond anything she had ever experienced reading that  i knew that i  too  wanted to eat at bartleys  in the spirit of the 2004 elections  i ordered the john kerry burger he voted this the best burger before he voted against it   a swiss cheese burger with mushrooms  tomato  lettuce  and fries it was amazing total love at first bite the meat was tender and juicy  and the whole thing was cheesy  savory  and deliciously greasy a few bites in  my chin was dripping with meat juice and ketchup and chunks of halfchewed mushrooms  my attractiveness might have been at an all time low  but id never been happier it was a truly transcendental burger experience thank you  opal mehta  ina k put it best when she said this place is an institution granted  she was talking about a completely different restaurant in a different state  but still  the words fit a boston landmark since 1960 im sad to see it go  update apparently the close is temporary there was a kitchen fire  and the place is only closed until they repair the damage phew,positive
royal east is the place to go  if youre looking for a nice yet inexpensive lunch or if youre taking a group out to dinner  this place on the corner of windsor and main street in cambridge is where you want to be  the food is always fresh and has a nice mix of southernchinese authenticity and americanized taste so its perfect for those wanting a little more than chinese takeout    if youre on the adventurous side  you can always order the specials on the menu  or try the squab youll have to order it a day in advance so they can get the bird  if youre craving even more authentic chinese food  or if southern chinese is just not your thing  you can always go down the street to mary chung in central square  ever since i discovered this place my freshman year of college  ive always come to royal east for comfort food  what i get when im trying to settle down before finals or after a long day  shrimp stuffed eggplant with black bean sauce  its even better for lunch because for 7 bucks  you get the entree  rice  and a bowl of soup  the waiters are friendly  speak both mandarin and cantonese if youre into that  and will always keep your teapot and water glass freshened  come here with groups too royal east is awesome when you order family style  and they have the rotating tray for the food at the bigger group tables  in short  come here for a nice mix of cantonese authenticity and oldschool chinese flavor  and order the shrimp stuffed eggplant d  oh yeah  they deliver for free too if you order more than 25  below that  its 3 to deliver,positive
the burgers are good  the shakes are heavenly i enjoyed a dick cheney just a heartbeat away which is a delicious homecooked style burger with bacon and a side of baked beans everything about it was delicious the side was a bit small  but still good ya  the burgers are a bit pricey  but they are the best in boston without a doubt  the milkshake was hands down the best ive had in boston i had a chocolate and it was everything i ever dreamed of it was fairly cheap too  especially considering the likes of jp licks which is good  but empties your wallet  the seating arrangements are a bit odd  but it fits in with the whole feel of the place also its cash only so hit up the atm first theres always a line on the weekend  and they dont do reservations  so just stand in line outside,positive
i can completely understand some of the negative reviews here personally  i think this is the best pizza ive ever had  beware  during the rush hour  this place gets insanely busy  you have to place your order at the barwith a waitress before sitting and there isnt a wide variety of options pizza  subs  meatballs  sausage and salads  otherwise  the pizza is amazing  the beer is cheapish  wait staff is friendly and parking is easiest in princeton  great for big groups  children  happy hour  sports  but not so much for a quiet or intimate dinner  overall  i absolutely love this place and regular about once a week  did i mention the pizza,positive
best pizza  period delicious thin crust best pepperoni my personal favorite is the pepperoni and garlic comboi always end up eating pretty much half a pie nothing compares i want some now   only problem is they have a very small wait staff  so when tables need to be cleared  drinks need to be refilled  or checks need to be given  thats when one experiences a lag sadly this can be problematic as the pizza is rather salty  so drinks need to be refilled quickly other than that and the long lines  but if you know to be prepared  its not that bad  its 5 stars all the way,positive
love lucys they also opened a restaurant in rocky hill 113  i think  great sandwiches  fresh pasta and sauces large selection of dishes to choose from for take out and reheat for dinner  there will be a long line for the lunch crowd  the line moves rather quickly and its worth the wait,positive
huge supporter of local farms and local businesses  fresh fresh produce  when in season veggies and fruits are picked that very day you may even be able to pick your own  organic section  free range eggs  local farm and supporter of other local  nj businesses  the staff is always extremely helpful and friendly    pick your own with events every weekend in october  they sell turkeys for thanksgiving and their own pies christmas trees for christmas time  open all year  including thanksgiving morning  a great trip for the entire family,positive
this place always entices me with its siren song of exotic ice cream and sorbet flavors whenever i am near today was unseasonably warm  and after a 40mile bike ride down to princeton  i hit bent spoon in a mediterranean kindof mood  where i sampled the heady turkish coffee ice cream  and the tangy greek yogurt ice cream with candied walnuts  which was fabulous  i pedaled away  holding the cup in one hand  and the handlebar in the other  shoving the ice cream into my face i momentarily lost my balance  and the tiny cup slipped from my fingers horrified  i juggled it in slow motion  but it fell to the ground  landing upside down in the street i abruptly dismounted  held up my arms to stop traffic  picked it up  scraped a few black particles off the ice cream with my fingernail  and resumed eating it no way was i going to waste that,positive
abc is one of a kind unless the kind is corner brewery   they have great beers here and i love going to the bar and getting a few samples  working down the list at 4oz per serving is a great way to sample the beer while snacking on some food  good vegetarian choices and the pear  walnut salad is great,positive
i love mani  sometimes the dishes may be hit or miss  but they are at least attempting to think outside the box  and sometimes they go way outside of it    the pickled cherry tomatoes are definitely worth trying for the experience of the sweet vinegary flavor explosion you get when you bite into them  love the ice less water in the table  nothing irks me more than drinking water filled with ice cubes    decent wine selection    will be back,positive
ok  so it might not be the best pho  ramen  tempura udon but eat here once and youll wonder why anyone would go to the noodles  company around the corner  we seem to end up there once a week and were always happy  i happen to think that their japanese dishes are their strongest suit  which isnt surprising considering its called tomukun   try the tomukun ramen  if nothing else  i also like the tempura udon even though the broth lacks a little finesse  the tempura items are nicely executed  duck ramen is nice and hearty  their phos are good though  to be honest  we love saigon garden and we feel a little guilty everytime we have pho at tomukun  our favorite appetizers are the dumplings  none of us are willing to share  so we each order our own not a big deal at their prices  service has always been good  lunch or dinner  quiet or busy  all around  its a fun  reasonable restaurant and always yummy  were huge fans,positive
mani is the best new restaurant in the area  food is fresh and flavorful  staff is kind and decor is eclectic and visually stimulating    the beet appetizer was perfectly prepared  and i had to hold myself back from ordering another  this dish is a musthave for any beet lover  pistachio pizza was a pleasant surprise  and the word pizza does this gem no justice  the cheese was thinly dispersed over flat  crispy dough and there was more focus on toppings pistachios  onions and a touch of rosemary  yum    dessert was vanilla gelato with espresso poured over top  and it was my absolute favorite part of the meal  i would highly recommend this for anyone who isnt crazy about the classic sweet treat  as the gelato and espresso compliment each other perfectly and keeps the flavor of sugar down to a minimum  when you decide to dine at mani  be sure to call ahead and get your name on the list to avoid a long wait,positive
the best quality and variety of meat in the area  period plus  they will happily track down hard to find items for you  like deboned quail or huge quantities of veal bones for stock and  the guys behind the meat counter couldnt be more friendly and helpful yes  youll pay through the nose  but i have no problem doing so for high quality and a great experience theres no better place to wander around and be inspired to put together a delicious meal,positive
id been avoiding grange after reading some fairly tepid reviews here  and now im kicking myself for missing out on this gem of a restaurant both food and service were outstanding last night we started with the charcuterie plate  including generous portions of lardo  the heavenly cured pork backfat  terrific chicken liver and duck pts  and a turkey sausage that was the only just ok moment of the evening pickled vegetables and a beet compote were an excellent foil for all the fatty goodness then  the beet salad with goat cheese was simple and delicious  followed up by two stellar entres i opted to follow pork fat with more pork fat  choosing the pork belly with braised turnips fabulous my husband had what i consider the litmus test for any cook or restaurant roast chicken granges was just what it should be moist  flavorful  with crunchycrisp skin  and delicious baconyfried brussels sprouts to go with we ended with the cheese plate  which included surprisingly complex michigan cheddar and manchego plus a tangy fresh goat cheese  as we were finishing up  the table next to us began receiving their selections from the snacks menu even though we were stuffed  we were jealously eyeing their scotch duck eggs and chorizo  date and blue cheese bites and planning a return visit,positive
